stage_classifiercode,division,division_short_name,hhf,last_changed
03-02,CARRY OPTICS,CO,7.159,2022-03-01 21:39:59.000000 UTC
03-02,PRODUCTION,PROD,7.1283,2019-05-01 09:41:55.000000 UTC
03-02,SINGLE STACK,SS,6.8103,2018-06-28 12:52:49.000000 UTC
03-02,PCC,PCC,8.8537,2022-03-01 21:41:32.000000 UTC
03-02,LIMITED,LTD,8.098,2018-06-28 12:52:49.000000 UTC
03-02,LIMITED 10,L10,8.098,2019-05-01 09:43:26.000000 UTC
03-02,REVOLVER,REV,5.704,2018-06-28 12:52:49.000000 UTC
03-02,OPEN,OPN,8.7316,2018-06-28 12:52:49.000000 UTC
03-03,CARRY OPTICS,CO,8.2842,2022-03-01 21:39:39.000000 UTC
03-03,LIMITED,LTD,8.8509,2018-06-28 12:58:58.000000 UTC
03-03,REVOLVER,REV,5.3679,2019-05-01 09:41:55.000000 UTC
03-03,SINGLE STACK,SS,7.6226,2019-05-01 09:41:55.000000 UTC
03-03,LIMITED 10,L10,8.8509,2019-05-01 09:43:26.000000 UTC
03-03,PRODUCTION,PROD,8.1398,2019-05-01 09:41:55.000000 UTC
03-03,PCC,PCC,8.5864,2019-05-01 09:41:55.000000 UTC
03-03,OPEN,OPN,9.4099,2018-06-28 12:52:49.000000 UTC
03-04,REVOLVER,REV,6.4774,2018-06-28 12:52:49.000000 UTC
03-04,LIMITED 10,L10,10.778,2019-05-01 09:43:26.000000 UTC
03-04,LIMITED,LTD,10.778,2018-07-25 09:12:50.000000 UTC
03-04,OPEN,OPN,11.8391,2018-07-25 09:12:50.000000 UTC
03-04,SINGLE STACK,SS,9.5045,2018-07-25 09:12:50.000000 UTC
03-04,CARRY OPTICS,CO,9.4499,2022-03-01 21:39:50.000000 UTC
03-04,PRODUCTION,PROD,9.341,2019-05-01 09:41:55.000000 UTC
03-04,PCC,PCC,10.4036,2019-05-01 09:41:55.000000 UTC
03-05,SINGLE STACK,SS,10.312,2019-05-01 09:41:55.000000 UTC
03-05,REVOLVER,REV,7.9055,2019-05-01 09:41:55.000000 UTC
03-05,LIMITED 10,L10,10.4977,2019-05-01 09:43:26.000000 UTC
03-05,OPEN,OPN,11.7506,2018-06-28 12:52:49.000000 UTC
03-05,LIMITED,LTD,10.4977,2019-05-01 09:41:55.000000 UTC
03-05,CARRY OPTICS,CO,10.1437,2022-03-01 21:40:06.000000 UTC
03-05,PRODUCTION,PROD,10.1376,2019-05-01 09:41:55.000000 UTC
03-05,PCC,PCC,11.1348,2022-03-01 21:41:41.000000 UTC
03-07,SINGLE STACK,SS,7.5451,2018-06-28 12:52:49.000000 UTC
03-07,LIMITED,LTD,8.0271,2018-06-28 12:52:49.000000 UTC
03-07,OPEN,OPN,8.4324,2018-06-28 12:52:49.000000 UTC
